departure,mode,transport,agency,number,price,title,isOptimization,tags
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,6,17366,新疆北疆+乌鲁木齐+可可托海+喀纳斯景区+禾木风景区+伊犁11日10晚私家团·喀纳斯&赛里木双湖 百年老屋图瓦族民俗体验 畅游六大5A景区  喀赞其网红街拍  横跨果子沟大桥 指定乌鲁木齐希尔顿,优选,安心游/无购物/无自费/成团保障/任性退/湖泊/草原
北京出发,跟团游,飞机往返,新疆雪莲花国际旅行社有限公司昌吉市分公司,5,8708,新疆乌鲁木齐+北疆+伊犁+喀纳斯+禾木风景区+可可托海+那拉提+巴音布鲁克9日8晚跟团游·<9.18/26特价班期>【封顶18人+豪升2晚5钻+指定1晚国际品牌5星希尔顿】春晚可可托海+草原神石城+独库公路+穿越小独库G219线,非优选,安心游/无购物/无自费/精致小团/任性退/草原/冷水鱼宴
北京出发,跟团游,飞机往返,新疆春秋之旅国际旅行社有限公司沙依巴克区分公司,30,5717,新疆乌鲁木齐+北疆+天山天池+禾木风景区+喀纳斯+伊犁+赛里木湖+那拉提+南疆+巴音布鲁克+吐鲁番10日9晚跟团游·9月14/21/24日特价班【豪升1晚葡萄酒庄园】赛湖赠环湖+巴音那拉双草原+优秀导游+葡萄架下美食+禾木,非优选,安心游/无自费/草原/任性退/赏薰衣草/九碗三行宴
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,59,4555,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+天山天池7日6晚跟团游·『中秋国庆·双节大促』【携程自营 封顶20人  享立减+早订+多人3重优惠 拼房免房差】【A线天吐喀+宿禾木】【B线北疆三湖 满10人享2+1航空座】,优选,安心游/无购物/精致小团/成团保障/任性退
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,,10646,新疆北疆+乌鲁木齐+喀纳斯+禾木风景区+赛里木湖+白哈巴7日6晚私家团·省内双飞：赛里木湖进 阿勒泰出。禾木+喀纳斯+白哈巴+赛里木湖。双景区住宿（禾木+喀纳斯）。赠喀纳斯观鱼台，赛里木湖环湖。,非优选,安心游/无购物/无自费/成团保障/任性退
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,,10184,新疆北疆+南疆+伊犁+乌鲁木齐+喀什+独库公路+巴音布鲁克+帕米尔高原8日7晚私家团·【二次游新疆】伊犁+南疆+喀什+独库公路（全段）+帕米尔高原；适合去过北疆喀纳斯，没有去过伊犁，和南疆的游客，匠心设计。,非优选,安心游/无购物/无自费/成团保障/任性退
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,57,15400,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+吐鲁番+那拉提+喀拉峻草原+赛里木湖10日9晚私家团·【下单立减400/成人 1-4人享7座车 舒适4飞】【A线7晚5钻酒店+宿禾木1晚 B线升级3晚万达或希尔顿】【世界魔鬼城】,非优选,安心游/无购物/无自费/成团保障/3期免息/观日出/观日落/草原/任性退
北京出发,私家团,飞机往返,新疆美程在线国际旅行社有限责任公司,,17757,新疆北疆+可可托海+喀纳斯+唐布拉草原+特克斯+赛里木湖14日13晚私家团· 天山天池 独库公路 巴音布鲁克 喀拉峻草原全景,非优选,安心游/无购物/无自费/成团保障/任性退/观日落/徒步体验/草原
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,21,9900,新疆北疆+伊犁+乌鲁木齐+喀纳斯+禾木风景区+独库公路+赛里木湖+巴音布鲁克8日7晚私家团·【巅 峰北疆】喀纳斯+伊犁8日，穿越独库公路，8天时间把喀纳斯地区和伊犁大草原串联起来，全程小车，禾木景区入住。,优选,安心游/无购物/无自费/成团保障/草原/任性退
北京出发,跟团游,飞机往返,上海紫华国际旅行社有限公司,,8983,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提+巴音布鲁克10日9晚跟团游·【20人精致小团+必含导游+9早15正】【3大民俗体验+6大美食】8大赔付 1人2座 那拉提连住2晚不挪窝 火洲吐鲁番,非优选,安心游/无购物/精致小团/成团保障/赏花/寺院祈福/九碗三行宴/哈萨克宴
北京出发,跟团游,,辽宁天骄国际旅行社有限公司葫芦岛分公司,,5350,新疆北疆+喀纳斯+禾木风景区+可可托海景区+五彩滩+乌鲁木齐7日6晚跟团游·【2-8人纯玩小团】喀纳斯、禾木住景区内  |  可自选酒店  |  喀纳斯畅玩2天+禾木超长自由游览时间  |  无推销无进店  |  优先同龄人拼车,非优选,安心游/无购物/无自费/精致小团/成团保障/博物馆
北京出发,跟团游,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,11,7647,新疆北疆+南疆+伊犁+喀纳斯+禾木风景区+喀什+帕米尔高原13日12晚跟团游·【大疆大河+喀什】；乌鲁木齐进喀什出不走回头路；省内乌市直飞喀什；2+1VIP用车；升级禾木景区住宿。,非优选,安心游/无自费/成团保障/任性退/清真寺/哈萨克宴/香妃宴
北京出发,跟团游,飞机往返,新疆雪莲花国际旅行社有限公司昌吉市分公司,13,7482,新疆北疆+南疆+喀什+吐鲁番+可可托海+喀纳斯景区+那拉提15日14晚跟团游·【全境深度游】乌市喀什往返火车，免除汽车远途劳累+拒绝走来回颠簸折返的路 全市场玩遍南北疆环线景点超全 每天不一样的景观体验,非优选,安心游/无自费/成团保障/雪山/森林/清真寺
北京出发,跟团游,飞机往返,乌鲁木齐市新旅在线旅行社有限责任公司,6,4079,新疆北疆+喀纳斯禾木风景区+吐鲁番+天山天池8日7晚跟团游·五彩滩【牧羊·可可托海】2+1航空座椅大巴 升级3晚5星 可可托海VIP直通车 惊喜礼包 5大特色餐  赠送旅拍 专车接送机 单人拼房 任性退,非优选,安心游/成团保障
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,,9981,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+天山天池7日6晚私家团·【3人及以上最多立减优惠13500/单】【舒适双飞 赠送24H目的地接送机】【A线 天吐喀+B线北疆三湖 5晚4钻酒店 无购物 无自费】【天池+魔鬼城+五彩滩】,非优选,安心游/无购物/成团保障
北京出发,跟团游,飞机往返,新疆美程在线国际旅行社有限责任公司,84,13162,乌鲁木齐+北疆+吐鲁番+天山天池+伊犁+那拉提+赛里木湖+喀纳斯+禾木风景区10日9晚跟团游·【疆内轻奢2飞 7晚5钻酒店+禾木木屋 伊宁3晚连住享受】A线1人享2座 18人封顶 B线4人精致团 环赛湖+喀拉峻草原,非优选,安心游/无购物/无自费/精致小团/成团保障/3期免息/观日落/草原/任性退/峡谷峡湾
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,16,6957,新疆北疆+伊犁+乌鲁木齐+赛里木湖+那拉提+巴音布鲁克7日6晚私家团·【携程网红优选】省内双动立省20小时+网红独库公路【赛里木湖环湖游+那拉提草原高速往返+巴音布鲁克草原+中国摩洛哥“喀赞其”】 专车接送机,非优选,安心游/无购物/无自费/成团保障/草原/任性退
北京出发,跟团游,去程飞机,成都遇海假日国际旅行社有限责任公司,13,7857,新疆北疆+乌鲁木齐+五彩滩+喀纳斯+禾木风景区+那拉提+巴音布鲁克+克拉玛依10日9晚跟团游·【6人小团/蓝色房子&喀其赞】进购物店赔2000！商务车/住2晚景区小木屋/喀纳斯+禾木/五彩滩+魔鬼城+赛里木湖+八卦城+峡谷草原,非优选,安心游/无购物/无自费/精致小团/成团保障/峡谷峡湾/草原
北京出发,跟团游,飞机往返,新疆雪莲花国际旅行社有限公司昌吉市分公司,,13054,新疆乌鲁木齐+北疆+伊犁+喀纳斯+那拉提+巴音布鲁克+独库公路9日8晚跟团游·【豪配3飞+指定1晚希尔顿+穿越独库公路】10人以上升航空座椅+多人立减+小众景点草原神石城+小独库G219线+天山天池,非优选,安心游/无购物/无自费/精致小团/草原/九碗三行宴/冷水鱼宴
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,,9503,新疆北疆+独库公路+巴音布鲁克草原+那拉提旅游风景区+喀拉峻草原+赛里木湖7日6晚私家团··“嗨”翻草原 + “漫”步九曲十八弯 + “邂”逅骏马 + “遇”见天鹅 + 打卡独库美景+赠新疆歌舞宴 24小时接送机,非优选,安心游/无购物/无自费/成团保障/任性退
北京出发,跟团游,飞机往返,新疆大桔旅行社有限公司,32,14370,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+吐鲁番+那拉提+赛里木湖10日9晚跟团游·10.1特价【封顶16人 满8人升2+1陆地头等舱】【豪升1晚希尔顿】【3飞1动+禾木宿1晚 +必含导】喀纳斯+喀拉峻+环赛湖+大峡谷+五彩滩,优选,安心游/无购物/无自费/精致小团/成团保障/峡谷峡湾/任性退
北京出发,跟团游,飞机往返,新疆美程在线国际旅行社有限责任公司,24,7561,乌鲁木齐+北疆+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提+巴音布鲁克10日9晚跟团游·<迎金秋><穿独库公路 宿2晚景区木屋 游玩时间充足>6人精致团 保证10岁年龄差 A线门票全含 B线不含门票 赠行中暖胃早餐,非优选,安心游/无购物/精致小团/成团保障/徒步体验/任性退
北京出发,跟团游,飞机往返,桂林跃飞翔国际旅行社有限公司,,13743,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+那拉提+赛里木湖+巴音布鲁克+独库公路10日9晚跟团游·轻奢漫游【16人小团+7晚5钻+1晚禾木】4飞1动【直飞喀纳斯景区+穿越独库+玩全3大草原】【8人升2+1陆地头等舱+含导,非优选,安心游/无购物/无自费/精致小团/成团保障/赏雾凇/草原/观日出/任性退/九碗三行宴
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,36,10046,新疆北疆+喀纳斯景区+禾木风景区+五彩滩8日7晚私家团·A:畅游双湖B:精品北疆  住景区赏繁星 贝加尔赛里木湖|魔鬼城坐小火车|打卡独山子峡谷丨赠送新疆美食九宫宴 『私享包车·升级乌市五钻酒店』·24小时接送·管家,非优选,安心游/无购物/无自费/成团保障/3期免息/湖泊/任性退
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,30,9412,新疆北疆+喀纳斯+禾木风景区+吐鲁番11日10晚跟团游·可可托海寻牧羊人足迹+仙境喀纳斯+魔鬼城+【2大峡谷·独山子|温宿大峡谷】+品味喀什古城意蕴+雪山脚下·卡拉库里湖+升级2晚五钻 20人精品团 赠24H接送机+取消险,非优选,安心游/无自费/精致小团/成团保障/3期免息/湖泊/任性退/峡谷峡湾/清真寺/胡杨林
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,25,13712,新疆北疆+乌鲁木齐+喀纳斯+伊犁10日9晚私家团·A独库喀伊B经典喀伊&可可托海+那拉提+穿独库公路+禾木村+天山天池+赛里木湖『那拉提草原-寻可可托海的牧羊人·下单立减』赠新疆特色玖宫宴·24小时接送机·管家服务,非优选,安心游/无购物/无自费/成团保障/任性退/草原
北京出发,私家团,飞机往返,上海沪迪国际旅行社有限公司,10,9414,新疆乌鲁木齐+布尔津+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提旅游风景区+巴音布鲁克草原+库木塔格沙漠+吐鲁番+天山天池+北疆12日11晚私家团·『北疆大环线』喀纳斯村/禾木村两晚住景区| 纯玩包车游| 随走随停玩,非优选,安心游/无购物/无自费/成团保障/观日落/草原/任性退
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,10,11422,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+天山天池+赛里木湖+可可托海8日7晚私家团·【3人及以上下单最多立减16000元/单】【4大5A景点+舒适双飞+舒适5晚4钻酒店 1-5人享7座商务车】【五彩滩+魔鬼城+大峡谷】,非优选,安心游/无购物/无自费/成团保障/3期免息
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,9,7395,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区5日4晚私家团·【下单-200/成人】 【舒适双飞+区间2卧 门票全含】【A线 春夏秋版 宿喀纳斯+禾木各1晚 （4.27号前1-3人限时免费升级越野车）】【B线+C线冬游版超前预售】,非优选,安心游/无购物/无自费/成团保障/任性退
北京出发,私家团,去程飞机,新疆康辉大自然国际旅行社有限责任公司,8,12890,新疆乌鲁木齐+喀纳斯+天山天池+新疆国际大巴扎+北疆7日6晚私家团·【一单一团】直飞阿勒泰·3晚4钻酒店+1晚宿禾木景区·3大5A级景区·探秘瑶池+趣游大巴扎+喀纳斯定制玩法+禾木穿越+奇迹魔鬼城【赠24H目的地接送机】,非优选,安心游/无购物/无自费/成团保障/任性退/湖泊
北京出发,私家团,飞机往返,桂林跃飞翔国际旅行社有限公司,,13918,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+那拉提+赛里木湖9日8晚私家团·金秋国庆优选【舒适疆内3飞】8大赔付【宿禾木1晚+宿喀纳斯1晚+5钻酒店】换赛湖游免换乘+那拉提草原高速往返+吐鲁番+沙漠 专车接送机,非优选,安心游/无购物/无自费/成团保障/观日出/赏雾凇/草原/沙漠/任性退
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,,8698,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+白哈巴+天山天池+世界魔鬼城7日6晚私家团·【携程专享，巅 峰喀纳斯】多人立减8000元/单。2晚景区内住宿，2晚五钻酒店，全程小车，随走随停，白哈巴禾木喀纳斯深度体验.,非优选,安心游/无购物/无自费/成团保障/任性退
北京出发,跟团游,飞机往返,上海携程国际旅行社有限公司,7,10866,新疆乌鲁木齐+北疆+喀纳斯+天山天池+吐鲁番8日7晚跟团游·【封顶20人小团 满8人升2+1陆地头等舱】『A线全程3飞免奔波丨B线6晚5钻+宿2晚野奢营地+1车到底』【禾木宿1晚 魔鬼城+大峡谷 单人拼住免房差 1人也含导】,非优选,安心游/无购物/精致小团/成团保障/任性退/峡谷峡湾
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,7,17293,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+伊犁+赛里木湖+那拉提+巴音布鲁克+吐鲁番+库木塔格沙漠10日9晚私家团·【多人下单最多减13500元/单】【舒适双飞 A线独库公路+B线升4晚5钻酒店（乌市升3晚万达或希尔顿）】,非优选,安心游/无购物/无自费/成团保障/3期免息/沙漠/草原/任性退
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,,9479,新疆北疆+乌鲁木齐+伊犁+那拉提+巴音布鲁克+喀拉峻草原7日6晚私家团·【独伊无二】一单一团 穿越独库公路 赏地道北疆美景 登天山天池 驰骋伊犁草原  赠精美薰衣草伴手礼+24小时目的地接送机,非优选,安心游/无购物/无自费/成团保障/草原/任性退
北京出发,跟团游,飞机往返,新疆康辉大自然国际旅行社有限责任公司,7,12334,新疆乌鲁木齐+北疆+天山天池+吐鲁番+喀纳斯+伊犁+那拉提+赛里木湖10日9晚跟团游·【16人精致小团】【1飞1动+7晚5钻酒店+宿禾木1晚】喀拉峻草原全景+环赛湖免换区间车,优选,安心游/无购物/无自费/精致小团/成团保障/草原/任性退
北京出发,跟团游,飞机往返,乌鲁木齐市新旅在线旅行社有限责任公司,6,5361,新疆北疆+喀纳斯+禾木风景区+天山天池8日7晚跟团游·可可托海寻牧羊人『A线经典北疆B线升级万达C线房车穿越独库公路』<双人下单1000> 26人精品小团 2+1航空座椅 缤纷特色餐 经典5A全含 单人拼房 赠旅拍,非优选,安心游/无自费/成团保障
北京出发,跟团游,飞机往返,上海锦轩国际旅行社有限公司,,8974,乌鲁木齐+北疆+赛里木湖+特克斯+昭苏+喀拉峻草原+那拉提旅游风景区+巴音布鲁克草原+独库公路+南疆+喀什老城+喀拉库勒湖+帕米尔高原9日8晚跟团游·【6人封顶小包团、行走喀喇昆仑公路、穿越独库公路】伊犁草原环线,非优选,安心游/无购物/无自费/精致小团/成团保障/雪山/湖泊/草原/清真寺
北京出发,跟团游,飞机往返,乌鲁木齐西域牧歌旅行社有限公司,,7048,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+赛里木湖+那拉提旅游风景区+巴音布鲁克草原12日11晚跟团游·喀纳斯40小时+赛里木湖环湖+网红四湖一海+两大草原+沙漠+吐鲁番+2晚景区住宿+9顿特色餐+赠民族服饰照,非优选,安心游/无购物/成团保障/草原/任性退/赏薰衣草/冷水鱼宴
北京出发,私家团,飞机往返,新疆大桔旅行社有限公司,6,,新疆北疆+乌鲁木齐+喀纳斯+禾木风景区+赛里木湖+天山天池9日8晚私家团·1单1团【1.5小时直飞景区，往返节省25小时车程，动车往返伊宁，看新疆万亩棉田】赛湖环游免换乘【6晚携程5钻酒店+1晚禾木特色民宿】,非优选,安心游/无购物/无自费/成团保障
北京出发,私家团,飞机往返,山西漠西旅行社有限公司,,12491,新疆北疆+乌鲁木齐+克拉玛依+喀纳斯+布尔津+可可托海+江布拉克草原+天山天池+五彩滩+禾木风景区8日7晚私家团·〖3人起享大幅立减 北疆畅玩 三飞 2晚乌市4钻酒店+1晚禾木景区〗〖大门票&6大区间车全含+1-5人享7座车〗,非优选,安心游/无购物/成团保障/草原
北京出发,私家团,飞机往返,新疆康辉大自然国际旅行社有限责任公司,6,9035,新疆乌鲁木齐+北疆+喀纳斯+禾木风景区+赛里木湖+天山天池+五彩滩+世界魔鬼城7日6晚私家团·【一单一团】乌鲁木齐2晚5钻+升级一晚宿禾木景区 走近绝色三湖，解锁魔鬼雅丹，寻觅生态喀纳斯【赠24H目的地接送机】,优选,安心游/无购物/无自费/成团保障
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,6,16780,新疆北疆+伊犁+南疆+乌鲁木齐+喀什+喀纳斯+禾木风景区+独库公路+帕米尔高原11日10晚私家团·乌进喀出，省内1飞；南北疆+喀什+独库公路大环游；7晚五钻酒店，1晚禾木景区住宿；随走随停，自由自在,优选,安心游/无购物/无自费/成团保障/任性退/清真寺
北京出发,私家团,飞机往返,新疆大桔旅行社有限公司,5,5021,新疆乌鲁木齐+北疆+伊犁+天山天池7日6晚私家团·1单1团，5晚携程5钻酒店 伊犁花季撩你没商量【紫色花海薰衣草+赛湖花海牧场】【沿独库公路精华路段】巴音布鲁克草原【游览天鹅湖和九曲十八弯】喀拉峻草原,优选,安心游/无购物/无自费/成团保障/草原/峡谷峡湾/赏花
北京出发,跟团游,飞机往返,新疆大桔旅行社有限公司,,7422,新疆乌鲁木齐+北疆+伊犁+天山天池7日6晚跟团游·6人精致小团，5晚携程5钻酒店 伊犁花季撩你没商量【紫色花海薰衣草+赛湖花海牧场】【沿独库公路精华路段】巴音布鲁克草原【游览天鹅湖和九曲十八弯】喀拉峻草原,非优选,安心游/无购物/无自费/精致小团/成团保障/草原/峡谷峡湾/赏花
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,8,11952,新疆北疆+乌鲁木齐+伊犁+赛里木湖9日8晚私家团·巴音布鲁克+那拉提+喀拉峻三大5A草原全游 喀赞其带装旅拍赠精修底片  赛里木湖&那拉提双直通车 指定7晚5钻酒店 A线升级2晚连住野奢克鲁格营地,非优选,安心游/无购物/无自费/成团保障/3期免息/任性退
北京出发,跟团游,飞机往返,新疆大桔旅行社有限公司,4,6643,新疆乌鲁木齐+北疆+伊犁8日7晚跟团游·6人精致小团，6晚5钻酒店 伊犁花季撩你没商量【昭苏万亩油菜花+紫色花海薰衣草+赛湖花海牧场】游独库公路精华段+巴音草原+那拉提空中草原+【动车往返伊宁，看新疆棉田】,非优选,安心游/无购物/无自费/精致小团/成团保障/草原/赏油菜花
北京出发,跟团游,飞机往返,新疆峰景国际旅行社有限公司,4,9751,新疆北疆+乌鲁木齐+喀纳斯+伊犁10日9晚跟团游·可可托海+独库公路【禾木景区内住宿&享受18H沉浸式游览】【4钻住宿很重要，可来一样新疆，你的旅行感受更重要】【跟团旅行，私家体验&独库公路换小车游览】,非优选,安心游/无购物/成团保障/3期免息/湖泊/草原/森林/赏花/全羊宴/冷水鱼宴
北京出发,跟团游,飞机往返,桂林跃飞翔国际旅行社有限公司,,12667,新疆乌鲁木齐+北疆+喀纳斯+伊犁+天山天池+吐鲁番+那拉提+赛里木湖10日9晚跟团游·金秋国庆优选6人小团 疆内3飞节省30小时【直飞喀纳斯景区】5钻酒店+1晚禾木 独库公路+环赛湖游免换乘+巴音那拉提双草原+沙漠,非优选,安心游/无购物/无自费/精致小团/成团保障/沙漠/赏雾凇/草原/任性退/观日出
北京出发,跟团游,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,,5682,新疆南疆+北疆+乌鲁木齐+库尔勒+库车+喀什+和田+沙漠公路+帕米尔高原13日12晚跟团游·南疆深度环线；沙漠公路穿越塔克拉玛干沙漠；帕米尔高原慢游2日，塔县1晚世外桃源,非优选,安心游/无自费/任性退/沙漠/清真寺
北京出发,跟团游,飞机往返,新疆峰景国际旅行社有限公司,4,10161,新疆北疆+乌鲁木齐+天山天池+吐鲁番+喀纳斯+伊犁12日11晚跟团游·+独库公路【北疆全景深度游览】【真正的全线不走回头路】【独库公路换小车游览】【禾木景区住宿，享受24H沉浸式游览】,非优选,安心游/无购物/成团保障/3期免息/湖泊/草原/沙漠/森林/赏花/全羊宴/冷水鱼宴
北京出发,私家团,飞机往返,新疆大桔旅行社有限公司,4,6413,新疆北疆+伊犁+赛里木湖5日4晚私家团·1单1团 3晚携程5钻酒店+可睡至自然醒，伊犁花季撩你没商量【紫色花海薰衣草+赛湖花海牧场】【游独库公路精华段】巴音草原【游览天鹅湖和九曲十八弯】那拉提空中草原,非优选,安心游/无购物/无自费/成团保障/草原/赏花
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,4,11965,新疆北疆+喀纳斯景区+禾木风景区+五彩滩7日6晚私家团·A线:美景双湖B线:悠享北疆『童话喀纳斯·漫步赛里木湖·天山天池』眺望博格达峰 禾木观璀璨星空 俯瞰喀纳斯 打卡魔鬼城 遇见网红小松鼠 多人立减 赠送接送机,非优选,安心游/无购物/无自费/成团保障/湖泊/任性退
北京出发,私家团,飞机往返,上海携程国际旅行社有限公司,,10340,新疆北疆+乌鲁木齐+天山天池+江布拉克+可可托海+喀纳斯+禾木风景区+世界魔鬼城9日8晚私家团·【下单立-400/成人 舒适双飞 禾木+贾登峪各宿1晚 禾木日出】【门票全含+独山子峡谷+1车到底 专车专用 1-5人享7座车】,非优选,安心游/无购物/无自费/成团保障/峡谷峡湾/任性退
北京出发,私家团,飞机往返,新疆大桔旅行社有限公司,4,,新疆乌鲁木齐+北疆+伊犁7日6晚私家团·1单1团，5晚携程5钻酒店 伊犁花季撩你没商量【紫色花海薰衣草+赛湖花海牧场+昭苏油菜花】喀拉峻大草原+天马乐园【动车往返伊宁，看新疆万亩棉田 】,非优选,安心游/无购物/无自费/成团保障/草原/峡谷峡湾/赏油菜花
北京出发,私家团,飞机往返,新疆嘉程美景旅行社有限公司上海第一分公司,4,15134,新疆北疆+伊犁+南疆+乌鲁木齐+喀什+喀纳斯景区+禾木风景区+巴音布鲁克+那拉提+独库公路+帕米尔高原13日12晚私家团·南北疆+喀什+独库公路大环游；1晚禾木景区住宿；帕米尔高原2日深度游，塔县一晚住宿，全程小车,优选,安心游/无购物/无自费/成团保障/任性退
